Taxonomy,Control_327,Control_328,Control_330,DSS_334,DSS_339,DSS_treatedp,RCJ_318,RCJ_319,RCJ_322,RCJ_plus_DSS_301,RCJ_plus_DSS_305,RCJ_plus_DSS_313
k__(null)|p__(null)|c__(null)|o__(null)|f__(null)|g__(null)|s__(null),2.750656674,4.554712367,5.318140498,1.213570194,5.768337105,9.341237394,1.901286844,2.8606651,2.091308751,2.277213894,1.569448014,1.441895041
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__(Lachnospiraceae bacterium A2)|s__Lachnospiraceae bacterium A2,0.240830879,0.256300638,0.164018004,0,0,0,0.218627357,0.089118783,0.546205226,0.081052181,0.115854897,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium sp. An196,0,0,0,0,0,0,0,0,0,0.059897845,0.100467597,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__(Clostridiaceae)|s__(Clostridiaceae),0.142256541,0.105519518,0.202751193,0.090693016,0.036932594,0.09332183,0.068406899,0.131113624,0.074328195,0.149525969,0.151125819,0.119260627
k__Bacteria|p__Spirochaetes|c__(Spirochaetes)|o__(Spirochaetes)|f__(Spirochaetes)|g__(Spirochaetes)|s__(Spirochaetes),0.001656539,0.001054629,0.001527926,0.001296423,0.000679078,0.000817981,0.001208966,0.00111122,0.000632777,0.001718275,0.001322145,0.001584517
k__Bacteria|p__Bacteroidetes|c__(Bacteroidetes)|o__(Bacteroidetes)|f__(Bacteroidetes)|g__(Bacteroidetes)|s__(Bacteroidetes),2.172740762,3.850070815,2.035280179,4.979735418,4.302510814,3.486167122,4.463163011,3.679155506,5.595614595,3.286196513,2.516083355,3.822971381
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__(Desulfovibrionaceae)|s__(Desulfovibrionaceae),0.113061334,0.076344871,0.135666482,0.158708919,0.076360285,0.173952097,0.413327477,0.327701748,0.120201985,0.318554879,0.284852826,0.192009507
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__(Deltaproteobacteria)|f__(Deltaproteobacteria)|g__(Deltaproteobacteria)|s__(Deltaproteobacteria),0.056651563,0.030939222,0.070310334,0.094952691,0.050138607,0.095878663,0.307355174,0.212983757,0.065325264,0.239792017,0.216517986,0.11197082
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella sp. CAG:485,0.315195058,0.57150618,0.156527564,0.16567462,0.105797296,0.102895806,0.753705429,0.18522899,1.279676553,0.073294219,0.08630984,0.112613887
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__(Alistipes),1.006887394,1.212772229,0.894742339,1.836470548,2.687801775,3.415275456,3.055993441,5.609004418,1.766591051,1.675884391,0.66774503,1.88719062
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__(Eubacteriaceae)|s__(Eubacteriaceae),0.024379927,0.010114152,0.025604341,0.007752815,0.004696957,0.009069812,0.009008083,0.018088186,0.008689114,0.016879226,0.025280238,0.014013715
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__(Bacteroidia)|f__(Bacteroidia)|g__(Bacteroidia)|s__(Bacteroidia),0.43221768,0.803154216,0.399838256,1.072455586,0.892535104,0.709137874,0.96580437,0.728214102,1.246190796,0.664293492,0.570142938,0.775482172
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__(Lachnospiraceae bacterium 3-2)|s__Lachnospiraceae bacterium 3-2,0.123515019,0,0.060211615,0,0,0,0.061924783,0.142714551,0.08883063,0.057310143,0.064502162,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__(Porphyromonas),0,0,0,0,0.038851504,0,0.084313805,0,0.120675282,0,0,0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__(Burkholderiales)|g__(Burkholderiales)|s__(Burkholderiales),0.490181099,0.992493612,0.277640162,0.572761712,0.12789306,0.422484491,1.950401732,0.743976958,1.982507049,0.525977468,0.212932246,1.469588077
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__(Paraprevotella),0.075583433,0.08941713,0,0.77904215,0.277547489,0.151645402,0.348984762,0.173257657,0.566443814,0.624248415,0.372459089,0.530427357
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__(Bacillales)|g__(Bacillales)|s__(Bacillales),0.12311889,0.080059224,0.105231424,0.089401737,0,0.086695672,0.080661184,0.117609219,0.073340445,0.131756739,0.122964642,0.126231473
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__(Desulfovibrionales)|g__(Desulfovibrionales)|s__(Desulfovibrionales),0.032472273,0.015665103,0.041084241,0.051501945,0.014142318,0.065572219,0.218689092,0.1385732,0.034416917,0.162659973,0.14444307,0.060684943
k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Chlamydiales|f__(Chlamydiales)|g__(Chlamydiales)|s__(Chlamydiales),1.03E-05,0,3.09E-05,0,5.14E-06,0,3.09E-05,5.14E-05,2.06E-05,1.54E-05,3.60E-05,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__(Lactobacillaceae)|s__(Lactobacillaceae),0.009146974,0.009954672,0.00463008,0.002165849,0.010072993,0,0.00416193,0.002551689,0.001491914,0.00194978,0.001594805,0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Mailhella|s__Mailhella massiliensis,0,0,0,0,0,0,0.109419142,0.069487237,0,0.088218521,0.08046565,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__(Clostridia)|f__(Clostridia)|g__(Clostridia)|s__(Clostridia),0.182203816,0.101028341,0.155364899,0.139972521,0.071817663,0.147210814,0.098944866,0.190774799,0.089386239,0.207206519,0.251269311,0.170633961
k__Bacteria|p__Actinobacteria <phylum>|c__(Actinobacteria <phylum>)|o__(Actinobacteria <phylum>)|f__(Actinobacteria <phylum>)|g__(Actinobacteria <phylum>)|s__(Actinobacteria <phylum>),0.003878976,0.052258167,0.055555813,0.003740077,0.047375993,0.049778502,0.005782459,0.004804996,0.007300091,0.004290544,0.004269963,0.005756735
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__(Lachnospiraceae bacterium COE1)|s__Lachnospiraceae bacterium COE1,0.910705263,0.14753492,0.447399464,0.073839518,0,0.170803643,0.108642317,0.25701069,0.10816378,0.22792357,0.313924586,0.157381637
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__(Eubacterium),0.237070227,0.130300734,0.264182063,0.395506742,0.081494528,0.430906091,0.089144524,0.356583168,0.112299984,0.413322396,0.486389931,0.413569227
k__Bacteria|p__Tenericutes|c__(Tenericutes)|o__(Tenericutes)|f__(Tenericutes)|g__(Tenericutes)|s__(Tenericutes),0,0.003806954,0,0.007922585,0.002901516,0.004609502,0.004568348,0.01145688,0,0.006209456,0.034535254,0.012722437
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Rikenella|s__Rikenella microfusus,0,0,0.067558008,0,0,0,0,0.111816473,0.08625322,0,0,0
k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Chlamydiales|f__Chlamydiaceae|g__Chlamydia|s__Chlamydia trachomatis,0,0.164043726,0.109599133,0,0.118169895,0.197313422,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__(Prevotellaceae)|s__(Prevotellaceae),0.466742621,1.189843045,0.990235162,1.487202891,1.490247383,1.047252022,0.569963172,0.71146864,0.590962653,0.982040678,0.145513133,1.1753515
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales|f__Anaeroplasmataceae|g__Anaeroplasma|s__Anaeroplasma bactoclasticum,0,0,0,0.089556073,0,0.060129303,0,0.124142779,0,0.056682509,0.416249359,0.139684434
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__(Bacteroidales)|g__(Bacteroidales)|s__(Bacteroidales),10.57363463,20.22546431,10.03337259,23.27140393,20.53095169,14.99769268,22.94035147,17.03457982,28.02858713,14.77633482,9.82830222,18.45969513
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__(Prevotella),2.027299757,4.984821055,3.941936742,4.898899332,5.850063136,4.137722237,1.965259152,2.510116471,2.095738193,3.474393967,0.553788465,4.677247262
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__(Lachnospiraceae)|s__(Lachnospiraceae),5.862870909,1.356623664,2.500772966,1.135002848,0.654811436,1.018236855,1.29080016,2.395156688,1.423769743,2.909477498,3.988135059,2.30677381
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__(Mycoplasmataceae)|s__(Mycoplasmataceae),0,0,0,0.000344684,0.002109258,0.000293238,0,0,0,0,0,0.000221215
