Taxonomy,Control_327,Control_328,Control_330,DSS_334,DSS_339,DSS_treatedp,D_Control,D_DSS,D_RCE,D_RCE_plus_DSS,RCE_318,RCE_319,RCE_322,RCE_plus_DSS_301,RCE_plus_DSS_305,RCE_plus_DSS_313,Start
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae,2576,1197,2122,1507,830,1192,1248,1760,974,1725,1099,1361,654,1794,1769,1384,1232
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae,702,401,565,445,168,290,410,567,306,551,343,534,286,548,746,420,451
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae,48308,23404,40214,23896,15453,20879,24312,30136,20545,31363,22947,27875,15551,35208,37049,28517,26374
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae,35119,15316,21940,15184,11122,10941,14691,17447,17092,25259,15556,21961,14833,32210,32618,23034,18820
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae,11013,8214,12963,7657,5399,8605,7095,10062,5020,9865,6628,6629,3819,6807,8044,6376,7355
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae,6617,2956,4964,3343,2483,2754,2883,3811,2713,4344,2711,3786,1951,5019,5345,3911,3331
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|g__Exiguobacterium,1707,2558,2239,544,2029,2597,679,1212,842,2093,568,1050,595,1042,627,634,927
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|g__Gemella,775,599,877,940,313,796,601,1266,390,1003,557,765,335,581,1010,736,549
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Alicyclobacillaceae,2128,962,1058,998,856,776,998,1344,1206,1654,1298,1682,1461,2050,2026,1549,1181
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Listeriaceae,1980,995,1631,1419,739,1154,920,1668,786,1664,861,1264,618,1501,1868,1088,1058
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Thermoactinomycetaceae,1179,623,654,647,428,434,531,835,639,1045,604,819,595,1290,1412,888,884
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Sporolactobacillaceae,199,81,105,81,45,97,98,153,180,166,147,200,130,193,232,113,162
d__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae,22257,7357,12009,19613,3486,5823,13549,54203,33699,31616,24210,15136,16183,26750,17907,38664,18596
d__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Turicibacteraceae,843,297,523,7427,1147,2145,336,8472,1800,10647,3839,3559,2689,5588,4694,3942,626
d__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae,5532,2340,3195,2424,1801,1792,2118,2895,2389,3518,2399,3452,2334,4726,4841,3371,2912
d__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Sporomusaceae,1727,718,1263,575,524,515,660,855,585,1021,714,1006,668,1324,1487,873,920
d__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae,3058,1487,2300,1470,1269,1098,1853,1891,1697,2236,1799,2603,1454,3007,2971,2257,2133
d__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae,2822,1364,1715,1059,758,823,1242,1437,1241,1874,953,1555,1107,2682,2945,1932,1399
d__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae,3160,1909,3296,2913,1530,2516,1996,3649,1421,2904,1555,2078,896,2621,2450,2156,1913
d__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Tissierellaceae,1785,1143,1796,1540,970,1317,1069,1657,1084,1550,955,1234,795,1608,1495,1390,1164
d__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Gottschalkiaceae,455,303,612,503,196,405,295,519,185,315,213,314,110,278,251,249,299
d__Bacteria|p__Firmicutes|c__Tissierellia|g__Sedimentibacter|s__Sedimentibacter sp. zth1,917,369,578,681,221,566,290,786,200,586,229,324,139,421,525,403,312
d__Bacteria|p__Firmicutes|c__Tissierellia|g__Ezakiella|s__Ezakiella massiliensis,156,124,191,84,79,83,122,109,111,184,132,191,68,190,277,141,147
d__Bacteria|p__Firmicutes|c__Limnochordia|o__Limnochordales|f__Limnochordaceae,242,90,132,74,77,52,123,95,125,280,155,179,158,325,347,218,114
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae,246698,635527,463461,7117,535363,801740,92835,228442,82566,428260,45233,192792,69115,128272,37308,16104,95265
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae,5567,3889,3620,3308,3055,2304,3371,4447,4800,5323,3622,4774,3921,6114,5160,4866,5492
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Brevibacteriaceae,845,726,519,548,454,352,548,786,857,876,688,893,584,981,749,819,932
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Dermabacteraceae,734,481,443,417,451,268,398,500,467,748,623,727,579,883,651,623,632
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Cellulomonadaceae,697,438,380,292,356,227,369,400,527,630,576,748,554,683,570,502,586
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Ornithinimicrobiaceae,578,320,390,327,320,215,301,412,440,657,302,469,350,559,508,489,496
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Promicromonosporaceae,575,496,427,358,476,328,419,379,480,629,471,553,537,736,501,666,543
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Intrasporangiaceae,489,339,286,373,447,254,310,414,461,571,337,441,460,535,378,503,563
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Ruaniaceae,322,144,115,111,136,71,114,192,169,235,168,162,217,277,215,201,220
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Dermatophilaceae,295,224,157,77,66,69,166,93,247,179,233,186,187,193,194,147,232
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Dermacoccaceae,253,280,214,282,314,219,200,228,194,312,168,270,207,396,262,323,337
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Bogoriellaceae,196,115,155,77,72,69,102,105,126,191,119,197,138,245,180,156,142
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Sanguibacteraceae,155,98,109,48,39,32,101,81,129,108,152,176,122,200,163,110,90
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Beutenbergiaceae,93,86,59,73,72,15,76,69,116,116,82,156,99,106,111,90,113
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Kytococcaceae,88,56,42,67,76,27,42,100,104,98,50,48,110,96,79,98,72
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae,46131,28943,12741,8170,16089,27522,10051,70617,54075,26223,38610,19150,34435,16611,13358,25259,20024
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Mycobacteriaceae,7164,4645,3943,3571,3767,2655,3987,5564,6753,6572,5471,6668,5642,7077,5745,5740,7301
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae,6469,4805,4512,4038,4431,2989,3818,5268,6346,6413,4950,5913,5153,6857,5536,5918,6803
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Nocardiaceae,3786,2761,2301,2328,2526,1566,2197,2785,3226,3772,2827,3036,3164,3948,3264,3382,3683
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Gordoniaceae,910,773,550,655,585,451,569,724,756,874,625,800,917,950,624,859,890
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Dietziaceae,197,168,123,97,146,87,136,175,217,204,246,197,386,271,214,209,167
