Taxonomy,Control_327,Control_328,Control_330,DSS_334,DSS_339,DSS_treatedp,D_Control,D_DSS,D_RCE,D_RCE_plus_DSS,RCE_318,RCE_319,RCE_322,RCE_plus_DSS_301,RCE_plus_DSS_305,RCE_plus_DSS_313,Start
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Elizabethkingia,1701,1830,1908,2183,1670,1381,1568,2151,1922,1893,1462,1325,1189,1831,1335,1737,2002
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Apibacter,582,409,620,576,640,464,476,685,812,751,627,545,520,714,631,606,745
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Blattabacteriaceae|g__Blattabacterium,2332,1725,2655,2196,1499,1633,2137,2433,1827,2373,1986,1708,1204,2171,1779,1972,2171
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter,10610,11675,6294,11097,11812,6157,8465,13301,18691,11578,12908,12010,16882,11949,6954,12259,18090
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Pontibacter,3005,3414,2186,4179,3759,2223,2521,4665,5149,3726,3178,3003,3787,3924,2493,4140,5223
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Rufibacter,979,1210,950,1327,1335,931,933,1371,1580,1323,1120,1263,1377,1608,1012,1445,1604
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cytophagaceae|g__Spirosoma,3849,4336,2843,4977,5053,3109,3443,5400,6367,5395,4230,4718,4655,5059,3310,5304,6230
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cytophagaceae|g__Runella,1002,1001,611,1229,1255,754,801,1267,1203,1313,756,814,941,1187,765,1174,1369
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cytophagaceae|g__Fibrella,957,1075,565,959,887,471,799,1224,1694,989,1334,1183,1964,1027,647,1169,1555
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cytophagaceae|g__Dyadobacter,849,929,544,1284,1170,687,755,1312,1852,1345,1063,875,1283,1231,878,1249,1423
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Echinicola,1301,1140,982,1548,1542,960,928,1586,1619,1637,1179,1257,1333,1710,1100,1555,1488
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Algoriphagus,580,610,508,773,585,566,593,1235,1042,921,694,707,723,871,735,747,914
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Fulvivirgaceae|g__Chryseolinea,732,963,538,1106,1075,672,701,1204,1351,1005,1091,963,1355,930,580,970,1483
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Flammeovirgaceae|g__Flammeovirga,845,701,896,885,681,534,609,756,967,804,508,572,418,731,380,799,846
d__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Mucilaginibacter,4568,5088,4015,6501,6865,4073,4144,6690,7310,6671,4791,4796,5239,6946,4724,6902,6566
d__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Sphingobacterium,3744,3759,3225,4586,4151,3101,3322,5981,5896,5235,4257,3708,4497,4996,3679,4766,5228
d__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Pedobacter,2989,2598,2532,3414,2982,2148,2339,3965,4550,3791,2873,2841,3179,3744,3211,3515,3883
d__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Anseongella,472,571,382,614,596,395,447,827,836,579,521,526,660,745,356,783,721
d__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Chitinophaga,3419,3278,2256,4169,4116,2533,2641,5032,5487,4391,3374,3359,4237,4473,3162,4215,4696
d__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Arachidicoccus,997,771,823,1183,844,652,675,1346,1301,1183,819,828,727,1104,1102,1000,1012
d__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Flavisolibacter,548,543,503,636,824,387,542,958,1076,671,655,634,734,802,462,838,894
