Taxonomy,Control_327,Control_328,Control_330,DSS_334,DSS_339,DSS_treatedp,D_Control,D_DSS,D_RCE,D_RCE_plus_DSS,RCE_318,RCE_319,RCE_322,RCE_plus_DSS_301,RCE_plus_DSS_305,RCE_plus_DSS_313,Start
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Brachyspirales,61019,34384,38302,42062,11803,10863,16017,7768,6986,52635,21827,15611,4585,34368,30941,37574,19570
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales,9893,5405,8251,5417,4714,4519,5834,6779,6392,8166,6687,6967,5046,9314,8950,8318,7415
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Leptospirales,1252,1027,1501,597,705,530,1080,677,813,1016,952,988,658,1146,936,864,1076
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales,2557,1821,1732,1747,1749,1289,1576,2123,2066,2388,1708,2105,1937,2519,2145,2261,2133
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Pirellulales,2047,1791,1536,1309,1572,1091,1449,1694,2404,1896,1622,1923,1952,1903,1525,1780,2613
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Gemmatales,982,884,682,494,608,439,631,753,1043,889,715,936,904,1013,705,868,1156
d__Bacteria|p__Planctomycetes|c__Phycisphaerae|o__Sedimentisphaerales,826,569,539,364,346,229,464,549,1129,554,645,617,693,695,486,486,926
d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales,2762,3009,2059,4170,3816,1930,2376,5029,4695,3489,3549,3782,4061,4441,2733,4462,4193
d__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Opitutales,1142,1466,1052,1333,1508,914,1003,1339,1728,1442,1041,1299,1229,1539,715,1482,1789
d__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales,8324,5451,10355,6695,3281,5994,5567,7542,3723,6165,5345,5442,2535,6186,5794,5397,5748
d__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales,1547,801,1364,1020,702,839,885,1509,1226,1375,1040,1187,783,1432,1247,1190,1143
d__Bacteria|p__Thermotogae|c__Thermotogae|o__Petrotogales,1041,572,882,741,441,600,572,1137,600,868,670,664,429,981,735,851,711
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales,1655,1596,1306,1299,1549,993,1295,1600,1676,1702,1238,1742,1318,1887,1087,1745,1787
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales,2284,1165,1321,788,727,722,1027,1184,1361,1993,1008,1368,980,2498,2399,1652,1305
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales,1280,860,2163,808,643,873,1111,833,1016,1259,1532,2052,630,3064,2353,1282,1243
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales,759,485,1135,539,353,466,475,574,462,783,524,639,288,1063,932,745,585
d__Bacteria|p__Candidatus Saccharibacteria|g__Candidatus Saccharimonas|s__Candidatus Saccharimonas aalborgensis,241,589,267,608,612,1226,597,1683,831,1635,344,983,219,1223,168,1313,659
d__Eukaryota|k__Metazoa|p__Chordata|c__Dipnotetrapodomorpha,776656,1454624,1532525,46187,1192949,1567207,525243,453488,250052,1043675,441089,485311,230554,361101,131356,181101,481277
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales,1856,1158,2117,900,938,819,1150,1027,942,1348,1070,1000,651,1574,1179,1258,1231
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales,2024,1053,2666,808,544,602,1557,981,953,935,1363,939,714,808,626,1004,1478
d__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales,1268,574,1422,331,209,371,736,446,705,517,738,602,367,513,604,561,897
d__Archaea|p__Euryarchaeota|c__Thermococci|o__Thermococcales,812,689,793,644,597,498,522,822,540,731,505,576,313,844,606,785,630
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales,1162,649,1805,357,301,415,913,461,446,501,893,491,315,488,340,579,812
d__Viruses|p__Uroviricota|c__Caudoviricetes|o__Caudovirales,2163,978,1922,636,603,694,1082,1107,874,1076,924,972,592,925,838,856,1155
d__Viruses|k__Pararnavirae|p__Artverviricota|c__Revtraviricetes,1291,3329,2438,6,2644,3584,340,925,184,2212,209,767,227,542,136,42,415
