#SampleID	Control_327	Control_328	Control_330	DSS_334	DSS_339	DSS_treatedp	D_Control	D_DSS	D_RCE	D_RCE_plus_DSS	RCE_318	RCE_319	RCE_322	RCE_plus_DSS_301	RCE_plus_DSS_305	RCE_plus_DSS_313	Start
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae	7.91727	11.14267	35.38235	7.84797	4.86037	12.75404	22.80597	2.50518	12.89837	10.61454	36.7648	39.33866	8.55203	40.65771	26.8612	20.49905	25.4983
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Mucispirillum	7.91727	11.14267	35.38235	7.84797	4.86037	12.75404	22.80597	2.50518	12.89837	10.61454	36.7648	39.33866	8.55203	40.65771	26.8612	20.49905	25.4983
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Mucispirillum|s__Mucispirillum_schaedleri	7.91727	11.14267	35.38235	7.84797	4.86037	12.75404	22.80597	2.50518	12.89837	10.61454	36.7648	39.33866	8.55203	40.65771	26.8612	20.49905	25.4983
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Mucispirillum|s__Mucispirillum_schaedleri|t__GCF_000487995	7.91727	11.14267	35.38235	7.84797	4.86037	12.75404	22.80597	2.50518	12.89837	10.61454	36.7648	39.33866	8.55203	40.65771	26.8612	20.49905	25.4983
k__Bacteria|p__Firmicutes	59.44588	46.83216	28.67222	2.45765	11.1502	3.57027	17.74296	16.11828	20.40416	9.81483	9.22222	11.17451	14.73771	7.4062	9.49903	2.67181	15.63199
k__Bacteria|p__Firmicutes|c__Bacilli	43.79494	41.6667	16.64082	0.92223	9.48693	0.58548	12.34229	12.12685	16.98281	6.65381	7.19001	7.27798	10.33006	5.70753	2.34226	1.20511	10.31381
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	43.79494	41.6667	16.64082	0.92223	9.48693	0.58548	12.34229	12.12685	16.98281	6.65381	7.19001	7.27798	10.33006	5.70753	2.34226	1.20511	10.31381
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	43.79494	41.6667	16.64082	0.92223	9.48693	0.58548	12.34229	12.05958	16.98281	6.65381	7.19001	7.27798	10.33006	5.70753	2.34226	1.20511	10.31381
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	43.79494	41.6667	16.64082	0.92223	9.48693	0.58548	12.34229	12.05958	16.98281	6.65381	7.19001	7.27798	10.33006	5.70753	2.34226	1.20511	10.31381
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_johnsonii	17.58798	15.85633	5.46627	0	1.1436	0	6.26308	3.26248	11.64117	1.7721	2.75269	4.83784	7.32932	3.54157	1.59719	0.23939	6.01607
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_johnsonii|t__Lactobacillus_johnsonii_unclassified	17.58798	15.85633	5.46627	0	1.1436	0	6.26308	3.26248	11.64117	1.7721	2.75269	4.83784	7.32932	3.54157	1.59719	0.23939	6.01607
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_murinus	5.38019	8.47832	1.8967	0.92223	6.94629	0.58548	2.29667	4.21907	2.91453	3.16578	3.68467	0.86968	0.99789	0.31076	0.10961	0.17255	3.3282
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_murinus|t__GCF_000364205	5.38019	8.47832	1.8967	0.92223	6.94629	0.58548	2.29667	4.21907	2.91453	3.16578	3.68467	0.86968	0.99789	0.31076	0.10961	0.17255	3.3282
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri	7.26607	7.43132	5.31522	0	1.39705	0	3.78254	4.57802	2.4271	1.71593	0.75265	1.57046	2.00286	1.8552	0.63546	0.79318	0.96955
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri|t__Lactobacillus_reuteri_unclassified	7.26607	7.43132	5.31522	0	1.39705	0	3.78254	4.57802	2.4271	1.71593	0.75265	1.57046	2.00286	1.8552	0.63546	0.79318	0.96955
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_sp_ASF360	13.5607	9.90074	3.96262	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_sp_ASF360|t__GCF_000364185	13.5607	9.90074	3.96262	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0	0	0	0	0	0	0	0.06726	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	0	0	0	0	0	0	0	0.06726	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thoraltensis	0	0	0	0	0	0	0	0.06726	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thoraltensis|t__GCF_000380145	0	0	0	0	0	0	0	0.06726	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia	15.65095	5.16546	12.0314	1.53542	1.66327	2.9848	5.40067	3.99143	3.42135	3.16102	2.0322	3.89653	4.40765	1.69866	7.15677	1.46669	5.31818
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	15.65095	5.16546	12.0314	1.53542	1.66327	2.9848	5.40067	3.99143	3.42135	3.16102	2.0322	3.89653	4.40765	1.69866	7.15677	1.46669	5.31818
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	1.5202	0	4.43903	0	0	0	0.70256	0	0.24215	1.55463	0	0.19243	0.28958	0.08193	0	0	0.95089
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Candidatus_Arthromitus	0.0215	0	4.43903	0	0	0	0.70256	0	0.24215	0.1677	0	0.19243	0.28958	0.08193	0	0	0.95089
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Candidatus_Arthromitus|s__Candidatus_Arthromitus_unclassified	0.0215	0	4.43903	0	0	0	0.70256	0	0.24215	0.1677	0	0.19243	0.28958	0.08193	0	0	0.95089
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	1.4987	0	0	0	0	0	0	0	0	1.38693	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_ASF502	1.4987	0	0	0	0	0	0	0	0	1.38693	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_ASF502|t__GCF_000364245	1.4987	0	0	0	0	0	0	0	0	1.38693	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	0.37818	0.45025	0.66226	0	0	0.00729	0.40669	0	0.44034	0.02381	0.16823	0.27342	0.45034	0.02598	0.0358	0.05215	0.62507
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium	0.37818	0.45025	0.66226	0	0	0.00729	0.40669	0	0.44034	0.02381	0.16823	0.27342	0.45034	0.02598	0.0358	0.05215	0.62507
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_plexicaudatum	0.37818	0.45025	0.66226	0	0	0.00729	0.40669	0	0.44034	0.02381	0.16823	0.27342	0.45034	0.02598	0.0358	0.05215	0.62507
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_plexicaudatum|t__GCF_000364225	0.37818	0.45025	0.66226	0	0	0.00729	0.40669	0	0.44034	0.02381	0.16823	0.27342	0.45034	0.02598	0.0358	0.05215	0.62507
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	4.32718	1.53715	0.54204	0.2458	0.12186	0.64858	0.40342	0.17508	1.0693	0.25718	0.77579	1.3739	0.97818	0.4682	2.06502	0.07997	1.15245
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	0.126	0	0.14138	0	0	0.31211	0	0	0	0.09896	0	0.32395	0	0.1948	0.09344	0	0
