Taxon	Control_327	Control_328	Control_330	DSS_334	DSS_339	DSS_treatedp	D_Control	D_DSS	D_RCE	D_RCE_plus_DSS	RCE_318	RCE_319	RCE_322	RCE_plus_DSS_301	RCE_plus_DSS_305	RCE_plus_DSS_313	Start
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella enoeca	4.543609268	5.747052581	5.025763559	5.69290146	6.512609481	5.417367395	5.379824559	5.440281058	5.739290647	4.898630182	5.012242143	4.946908624	5.304617855	4.933773767	3.201283862	5.4231449	5.49693327
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella melaninogenica	4.529940435	5.846581518	5.201513989	5.817676809	6.647923632	5.57322257	5.435625652	5.330490225	5.704049421	4.892793857	5.02863092	4.847802084	5.394510074	4.989051197	3.316753373	5.535526411	5.537514375
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella jejuni	3.60149182	4.841999946	4.053119967	4.637788371	5.461401376	4.492038592	4.413381776	4.40302502	4.711157783	3.898781935	4.048981697	3.799164968	4.498538406	3.954311235	2.457691177	4.314666144	4.640263097
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella scopos	2.979779533	4.352051935	3.706247414	4.152312436	5.130267158	4.103608359	3.999995458	3.683494321	4.18435375	3.291473982	3.466696136	3.383303512	3.67354499	3.52776906	1.682175254	4.065843082	4.085913661
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella xylaniphila	5.724517603	6.760197452	5.908163036	8.200246638	8.032168593	6.76395931	6.675276926	8.85901819	7.840197222	8.261795692	7.232366191	6.479156218	8.025545303	7.438638806	6.567229843	7.41090357	6.948680135
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella sp. E39	4.831070009	6.005561201	5.024699199	6.134106814	6.632585355	5.764460448	5.756998425	6.2531845	6.917736492	5.163633393	6.215600524	5.615273766	6.597169461	5.420748049	4.226933397	5.582493041	6.258615968
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides distasonis	7.89082574	8.627300267	7.206402755	10.51549466	9.402709092	8.678862062	9.752506674	10.01296455	10.4145724	9.200750371	9.073584698	7.953312283	9.550416811	8.300227529	7.839848388	9.082650961	9.357761516
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides goldsteinii	5.444533294	7.178038827	5.341445355	7.609217257	7.8738249	6.866818542	7.625048946	7.998392807	8.744962012	7.628215803	7.469377729	7.106405714	7.79855412	7.144006491	5.75056394	7.608046974	7.364914708
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides sp. CT06	2.463313457	3.345065607	1.966061264	4.679311123	3.690720751	3.131273806	4.087230287	4.387233626	4.991602986	3.59844527	3.721321858	3.466273708	3.848703136	2.810617326	2.344856665	3.369736527	3.797947852
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Tannerella|s__Tannerella sp. oral taxon HOT-286	4.877840484	5.813525415	4.603600119	5.780274072	6.315393483	5.083036069	5.349133519	5.777195999	6.467824081	4.954797109	5.953238474	5.345508851	6.51737218	4.774474687	4.073777489	5.401223333	6.277841584
