,clade_name,Start,RCJ_plus_DSS,RCJ_plus_DSS,RCJ_plus_DSS,RCJ,RCJ,RCJ,RCJ_plus_DSS,RCJ,DSS,Control,DSS,DSS,DSS,Control,Control,Control
54,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_murinus,0.65536,0.11191,0.03631,0.1192599999999999,0.14353,0.34251,0.51436,1.2019799999999998,0.62489,1.07401,0.4166899999999999,0.4385699999999999,3.5365300000000004,0.49818,0.75915,1.68422,1.74285
55,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri,0.09729,0.20371,0.20464,0.8482799999999999,0.2058699999999999,0.39515,0.1037599999999999,0.5875199999999999,0.27655,0.8855200000000001,0.55135,0.0,0.5905600000000001,0.0,1.54515,1.07697,2.00648
56,k__Bacteria|p__Firmicutes|c__Clostridia,2.74724,1.28532,3.631769999999999,1.4812299999999998,5.500859999999999,2.60529,2.30823,3.61931,1.91491,1.30593,2.52293,6.20809,0.65883,0.9659,3.97242,2.65482,3.11245
57,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales,2.74724,1.28532,3.631769999999999,1.4812299999999998,5.500859999999999,2.60529,2.30823,3.61931,1.91491,1.30593,2.52293,6.20809,0.65883,0.9659,3.97242,2.65482,3.11245
58,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae,0.01182,0.09566,0.21763,0.24139,0.02018,0.12357,0.0203199999999999,0.35076,0.0,0.16793,0.04492,0.46933,0.0,0.0,0.15984,0.10877,0.25924
59,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium,0.01182,0.09566,0.21763,0.24139,0.02018,0.12357,0.0203199999999999,0.35076,0.0,0.16793,0.04492,0.46933,0.0,0.0,0.15984,0.10877,0.25924
60,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_ASF502,0.01182,0.09566,0.21763,0.24139,0.02018,0.12357,0.0203199999999999,0.35076,0.0,0.16793,0.04492,0.46933,0.0,0.0,0.15984,0.10877,0.25924
61,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,2.0887599999999997,0.46107,2.62256,0.76994,4.99264,1.36216,1.99048,2.6804900000000003,1.61042,0.88433,1.79542,4.79159,0.1041,0.58708,2.29501,2.1421,0.8501799999999999
62,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Acetatifactor,0.03308,0.21995,0.70649,0.36994,0.00851,0.04686,0.01815,0.2561199999999999,0.02244,0.02209,0.0056799999999999,0.2680599999999999,0.0458,0.00336,0.04645,0.0,0.01589
63,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Acetatifactor|s__Acetatifactor_muris,0.03308,0.21995,0.70649,0.36994,0.00851,0.04686,0.01815,0.2561199999999999,0.02244,0.02209,0.0056799999999999,0.2680599999999999,0.0458,0.00336,0.04645,0.0,0.01589
