Taxonomy,Control_328,Control_330,Control_327,DSS_334,DSS_339,RCE_322,RCE_318,RCE_319,RCE_plus_DSS_305,RCE_plus_DSS_313,RCE_plus_DSS_301
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales|f__Streptosporangiaceae,465,411,727,354,465,600,667,801,755,657,874
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales|f__Thermomonosporaceae,313,327,554,327,273,297,342,458,548,599,696
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales|f__Nocardiopsaceae,351,290,516,269,256,367,353,477,417,460,554
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales|f__Frankiaceae,304,316,492,266,235,280,264,459,467,374,458
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Candidatus Nanopelagicales|f__Candidatus Nanopelagicaceae,257,363,425,276,226,235,273,342,378,406,491
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales|f__Nakamurellaceae,238,154,297,178,228,242,271,284,293,295,359
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales|f__Geodermatophilaceae,164,175,297,171,173,153,157,223,251,303,287
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jiangellales|f__Jiangellaceae,105,122,180,118,121,111,101,173,155,242,144
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Glycomycetales|f__Glycomycetaceae,101,112,152,102,130,97,72,147,197,148,246
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales|f__Catenulisporaceae,71,56,121,22,39,66,68,66,85,82,119
d__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae,4731,4531,7737,4642,3946,4845,4954,5874,6761,5734,8033
d__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae,1901,2014,3472,1616,1351,4117,2780,2782,4192,4198,4518
d__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae,709,824,1226,865,640,672,639,1069,1316,1399,1541
d__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteraceae,322,297,542,347,309,412,451,706,695,614,728
d__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales|f__Baekduiaceae,70,73,100,63,104,86,79,145,176,150,205
d__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Acidimicrobiaceae,116,37,82,68,95,102,93,93,34,86,79
d__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae,79,73,82,178,188,76,111,139,194,172,180
d__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Euzebyales|f__Euzebyaceae,72,94,112,68,84,77,107,165,138,106,140
d__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Egibacterales|f__Egibacteraceae,52,46,73,70,57,47,45,67,102,93,109
d__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Egicoccales|f__Egicoccaceae,68,52,65,49,47,65,58,90,83,78,116
d__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales|f__Conexibacteraceae,124,134,240,112,150,118,119,158,141,171,155
d__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Synechococcaceae|g__Synechococcus,2461,2273,3179,1879,2157,2545,2616,2785,2680,2979,3537
d__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Synechococcaceae|g__Cyanobium,162,164,245,107,136,128,157,207,222,217,281
d__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Synechococcaceae|g__Thermosynechococcus,89,120,163,73,70,149,101,98,112,127,146
d__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Prochloraceae|g__Prochlorococcus,444,924,782,337,300,298,625,638,445,507,545
d__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Leptolyngbyaceae|g__Leptolyngbya,297,513,710,476,417,372,370,509,553,569,536
d__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Pseudanabaenaceae|g__Pseudanabaena,165,278,386,107,82,77,123,191,190,114,139
d__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Merismopediaceae|g__Synechocystis,62,123,160,28,37,47,49,62,135,98,117
d__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Acaryochloridaceae|g__Acaryochloris,83,119,147,41,53,165,196,144,129,118,184
d__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Oculatellaceae|g__Thermoleptolyngbya,94,82,122,84,30,142,99,130,160,110,141
d__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Prochlorotrichaceae|g__Halomicronema,84,77,112,41,49,77,140,102,112,70,145
d__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Chamaesiphonaceae|g__Chamaesiphon,70,91,106,23,89,119,42,57,44,126,58
d__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae|g__Nostoc,1013,1989,2179,748,788,861,1298,1242,1352,1265,1428
d__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae|g__Anabaena,139,282,256,61,36,116,200,158,145,124,96
d__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae|g__Cylindrospermum,35,88,97,36,60,177,154,86,67,68,56
d__Bacteria|p__Cyanobacteria|o__Nostocales|f__Calotrichaceae|g__Calothrix,606,1124,1290,508,608,513,862,829,870,884,1124
d__Bacteria|p__Cyanobacteria|o__Nostocales|f__Aphanizomenonaceae|g__Anabaenopsis,107,181,129,85,53,157,153,166,96,183,142
d__Bacteria|p__Cyanobacteria|o__Nostocales|f__Aphanizomenonaceae|g__Sphaerospermopsis,108,73,109,155,46,23,43,35,38,144,55
d__Bacteria|p__Cyanobacteria|o__Nostocales|f__Scytonemataceae|g__Scytonema,120,185,366,75,33,153,125,126,86,58,60
d__Bacteria|p__Cyanobacteria|o__Nostocales|f__Scytonemataceae|g__Brasilonema,71,213,128,43,24,81,97,73,63,79,104
d__Bacteria|p__Cyanobacteria|o__Nostocales|f__Rivulariaceae|g__Rivularia,126,252,163,77,68,147,164,184,201,135,131
d__Bacteria|p__Cyanobacteria|o__Nostocales|f__Rivulariaceae|g__Microchaete,37,92,101,82,43,14,44,50,84,59,105
d__Bacteria|p__Cyanobacteria|o__Nostocales|f__Hapalosiphonaceae|g__Fischerella,121,211,185,77,49,73,136,127,89,85,102
d__Bacteria|p__Cyanobacteria|o__Chroococcales|f__Aphanothecaceae|g__Gloeothece,178,335,246,198,154,87,241,209,235,224,222
d__Bacteria|p__Cyanobacteria|o__Chroococcales|f__Aphanothecaceae|g__Halothece,50,64,104,41,57,90,79,69,47,54,99
d__Bacteria|p__Cyanobacteria|o__Chroococcales|f__Aphanothecaceae|g__Rippkaea,67,171,154,88,77,43,89,97,61,118,175
d__Bacteria|p__Cyanobacteria|o__Chroococcales|f__Chroococcaceae|g__Geminocystis,402,746,576,209,137,264,583,501,576,320,470
