Treatment_Gropu	Control	Control	Control	DSS	DSS	DSS	Control	DSS	RCE	RCE+DSS	RCE	RCE	RCE	RCE+DSS	RCE+DSS	RCE+DSS	Start
Taxonomy	Control_327	Control_328	Control_330	DSS_334	DSS_339	DSS_treatedp	D_Control	D_DSS	D_RCE	D_RCE_plus_DSS	RCE_318	RCE_319	RCE_322	RCE_plus_DSS_301	RCE_plus_DSS_305	RCE_plus_DSS_313	Start
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Symbiobacteriaceae	0.009256476	0.003838523	0.005108832	0.005320644	0.004094994	0.003895717	0.005454303	0.004308291	0.004095994	0.005896022	0.004879594	0.008206858	0.005971626	0.011074814	0.016640746	0.007838273	0.006402979
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Syntrophomonadaceae	0.007721893	0.004940936	0.00972852	0.007147134	0.002933961	0.005913499	0.006417961	0.007383228	0.004083073	0.005354425	0.005474666	0.009578028	0.005313529	0.011388844	0.012131324	0.009539247	0.007105347
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacterales Family III. Incertae Sedis	0.071880539	0.027865816	0.068625016	0.054688811	0.021369278	0.038437742	0.039471422	0.038571878	0.018658093	0.031929608	0.031042946	0.045248622	0.023984001	0.066783849	0.060950713	0.057649235	0.034563021
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacteraceae	0.046592564	0.01859492	0.033551618	0.035815083	0.015156184	0.025212282	0.02278087	0.027319635	0.018696856	0.025578152	0.02412027	0.033734824	0.025056456	0.052505923	0.057250047	0.042984079	0.023815163
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacterales Family IV. Incertae Sedis	0.008081051	0.003785394	0.0049639	0.011329531	0.003938098	0.005933477	0.003893177	0.007721134	0.001938168	0.004308158	0.003332406	0.00594846	0.002656764	0.00837415	0.01002366	0.007516467	0.003724182
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermodesulfobiaceae	0.003722181	0.001713389	0.002463834	0.005082406	0.001584653	0.002577167	0.002235686	0.003902805	0.001524692	0.001477083	0.002281111	0.002641519	0.002242407	0.002009796	0.002499788	0.002367572	0.002188774
d__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales|f__Halanaerobiaceae	0.017631384	0.00923105	0.023623818	0.020594334	0.005491371	0.014224362	0.011737352	0.015087467	0.00485834	0.008591699	0.009719517	0.013046283	0.007458439	0.01530376	0.018699395	0.015078907	0.011074541
d__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales|f__Halobacteroidaceae	0.006040381	0.002590007	0.006974823	0.007782435	0.002322065	0.00549396	0.00427864	0.006403303	0.002015694	0.00377887	0.003907642	0.004395811	0.003071122	0.005087296	0.006690609	0.005700562	0.004083533
d__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales|g__Anoxybacter	0.004718028	0.002988469	0.005887838	0.004711814	0.003545857	0.00315653	0.003777538	0.004933416	0.001976931	0.003495763	0.004106	0.004859589	0.003144244	0.006301548	0.006494547	0.005976396	0.004344879
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermosediminibacterales|f__Tepidanaerobacteraceae	0.014807097	0.004874525	0.009674171	0.010217755	0.005130509	0.006153235	0.006668512	0.006335722	0.005065078	0.007496196	0.006149082	0.010949199	0.008409025	0.013880154	0.01767007	0.010435707	0.008134397
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermosediminibacterales|f__Thermosediminibacteraceae	0.003297722	0.001128977	0.002101505	0.003150033	0.001396377	0.001338528	0.002312779	0.002078117	0.002377486	0.002055607	0.002340618	0.004032854	0.002169285	0.004877943	0.005024084	0.00393063	0.0027278
d__Bacteria|p__Firmicutes|c__Clostridia|o__Koleobacterales|f__Koleobacteraceae	0.004277243	0.00184621	0.004094312	0.003414742	0.00299672	0.002197584	0.002466964	0.00292288	0.00173143	0.003852724	0.003372077	0.005464517	0.002583642	0.009023147	0.009410967	0.004965006	0.002776802
d__Bacteria|p__Firmicutes|c__Clostridia|o__Natranaerobiales|f__Natranaerobiaceae	0.001795789	0.0008899	0.002880511	0.003308858	0.001474825	0.00305664	0.002177867	0.003142518	0.001188743	0.002191006	0.002320783	0.003226283	0.001316195	0.004019592	0.004215329	0.003195073	0.001731418
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	3.473496847	2.115464359	1.559244422	0.410616088	1.021049837	0.242093842	1.023616554	1.195694412	0.890032379	0.778164185	0.611357592	0.856376557	0.576517859	1.070425767	0.744716257	0.378949478	0.735460582
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	0.34381198	0.099575797	0.290207004	0.234320114	0.061519045	0.117570743	0.13394843	0.10970092	0.06894708	0.10063858	0.105903059	0.181579254	0.118628183	0.190616597	0.305954446	0.172373052	0.113375203
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.329347716	0.117480048	0.260314903	0.22471119	0.091705896	0.14048555	0.163108714	0.210548724	0.08826415	0.15196721	0.136350932	0.190007919	0.132960086	0.265293083	0.329040724	0.250250089	0.149359294
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	0.042054115	0.015898657	0.038443053	0.039891597	0.013022394	0.023813819	0.024052898	0.029735657	0.012585168	0.021233066	0.021799487	0.027443572	0.015940586	0.037558064	0.043354167	0.031812816	0.020123649
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae	0.011460399	0.005326116	0.01023578	0.011779536	0.002635858	0.00579363	0.007901994	0.009579612	0.003953862	0.006782272	0.006803662	0.01076772	0.00697096	0.011472586	0.018282763	0.009654178	0.007366693
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae	0.788645258	0.310853935	0.728533894	0.632547837	0.242451875	0.417121417	0.468568953	0.509155541	0.265464348	0.386047918	0.455170912	0.562079033	0.379039836	0.737092713	0.907986725	0.65549571	0.430796371
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae	0.573330149	0.203428425	0.397474353	0.401933644	0.174500081	0.218579693	0.283141925	0.294771593	0.220847731	0.310913636	0.308564898	0.442827539	0.361539315	0.674328456	0.799392993	0.529462713	0.307408345
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	0.179791137	0.109099052	0.23484321	0.202687428	0.08470832	0.171911001	0.136743037	0.170000101	0.064864007	0.121428521	0.131471338	0.133668947	0.093084247	0.142507103	0.197140144	0.146559619	0.120137533
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae	0.108024875	0.039261845	0.089929931	0.088492108	0.038957355	0.055019512	0.055564507	0.064387834	0.03505499	0.0534704	0.053774713	0.076341927	0.047553644	0.105074651	0.130993793	0.089898787	0.05440899
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|g__Exiguobacterium	0.027867381	0.033975575	0.040562674	0.014400152	0.031834262	0.05188296	0.013086472	0.020477055	0.01087958	0.025762787	0.011266705	0.021172484	0.014502521	0.021814662	0.015366344	0.014573212	0.015141739
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|g__Gemella	0.01265215	0.007955969	0.015888104	0.024882615	0.004910855	0.015902517	0.011583166	0.021389399	0.005039236	0.012345951	0.011048512	0.015425667	0.008165285	0.012163453	0.024752803	0.016917798	0.008967438
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Alicyclobacillaceae	0.034740356	0.012777366	0.019167177	0.026417925	0.013430325	0.015502956	0.019234609	0.022707229	0.015582867	0.020359126	0.025746801	0.033916303	0.035610392	0.04291752	0.049652652	0.035605528	0.019290609
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Listeriaceae	0.032324203	0.013215675	0.029547888	0.03756216	0.011594638	0.023054654	0.017731303	0.028181293	0.010155998	0.020482216	0.017078579	0.025487638	0.015063123	0.031423999	0.045780431	0.025008919	0.017281511
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Thermoactinomycetaceae	0.019247594	0.008274739	0.011848142	0.017126651	0.006715162	0.008670468	0.010234045	0.014107542	0.008256594	0.01286293	0.011980792	0.016514537	0.014502521	0.027006635	0.034604909	0.020411691	0.014439372
