Treatment_Gropu	Control	Control	Control	DSS	DSS	DSS	Control	DSS	RCE	RCE+DSS	RCE	RCE	RCE	RCE+DSS	RCE+DSS	RCE+DSS	Start
Taxonomy	Control_327	Control_328	Control_330	DSS_334	DSS_339	DSS_treatedp	D_Control	D_DSS	D_RCE	D_RCE_plus_DSS	RCE_318	RCE_319	RCE_322	RCE_plus_DSS_301	RCE_plus_DSS_305	RCE_plus_DSS_313	Start
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella dentalis	0.210747928	0.254910983	0.230967329	0.45412602	0.30477069	0.194518058	0.257855394	0.246857833	0.24984119	0.147812998	0.245123348	0.24891046	0.356861639	0.345747334	0.088064011	0.448247399	0.339461576
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella intermedia	0.193062938	0.253111759	0.245823866	0.511614318	0.342834001	0.237942924	0.264802596	0.257376978	0.215719053	0.168570396	0.167259192	0.215017397	0.224360554	0.377662473	0.113148002	0.461965353	0.289728431
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella denticola	0.172260888	0.23349239	0.225223377	0.437625723	0.296505082	0.197437186	0.232659891	0.230993593	0.195242447	0.134763416	0.15732641	0.195746288	0.21893121	0.324523502	0.069221013	0.416601904	0.275397823
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella ruminicola	0.138709195	0.181158428	0.176356598	0.321528089	0.234965936	0.151342109	0.185790069	0.162448104	0.142056456	0.103177334	0.112063412	0.14747216	0.131496813	0.257173563	0.055178779	0.321223853	0.194268774
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella sp. WR041	0.066518938	0.088396677	0.088059533	0.150359398	0.112661363	0.076033117	0.086697274	0.080582641	0.075025488	0.04980324	0.066505382	0.064148704	0.096943594	0.11093554	0.025954129	0.150043803	0.107140374
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella sp. oral taxon 299	0.042946168	0.056620809	0.058907898	0.109441463	0.074560309	0.049738331	0.06028839	0.06067751	0.0475516	0.037566536	0.034469703	0.052658305	0.047263532	0.088785481	0.018722979	0.111715957	0.063851762
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella oris	0.086779832	0.116777486	0.119500112	0.198984479	0.145761536	0.096489646	0.120100944	0.101727834	0.085380135	0.067439771	0.067169206	0.093368522	0.087716848	0.165133055	0.026974292	0.208624766	0.117973126
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella fusca	0.076865848	0.105481486	0.096286773	0.190121261	0.123304748	0.087053393	0.105088326	0.105704584	0.087341369	0.059078749	0.075651409	0.081420435	0.114486963	0.141792133	0.032225127	0.174447632	0.115026448
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella enoeca	0.074701222	0.088568776	0.08514437	0.171133658	0.117303691	0.073611824	0.095976071	0.106324615	0.084482622	0.062547992	0.068816475	0.084961501	0.094683982	0.133694262	0.032735208	0.163967821	0.107543157
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella melaninogenica	0.07396525	0.095014693	0.096524304	0.186898273	0.128966123	0.082210808	0.099854133	0.098349734	0.082405044	0.06228671	0.069627816	0.079131991	0.100929296	0.139092843	0.035795695	0.177568025	0.110680628
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella jejuni	0.037274849	0.046513862	0.04206473	0.080609733	0.055934385	0.037926043	0.047964244	0.050521831	0.04060418	0.030192579	0.034223842	0.036783729	0.053100861	0.065576877	0.017942855	0.073947427	0.058297592
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella scopos	0.02305326	0.032636366	0.032498675	0.056612485	0.044196468	0.028557677	0.035425972	0.029697344	0.027689956	0.019073581	0.022127484	0.026859108	0.028904192	0.047634535	0.008821403	0.061613043	0.038921592
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella xylaniphila	0.173602956	0.180470029	0.159232712	0.988826741	0.33873894	0.18992439	0.239012298	1.161339318	0.367714641	0.663772243	0.328691479	0.251126637	0.637994922	0.779989049	0.37466961	0.661935444	0.298398873
