Treatment_Gropu	Control	Control	Control	DSS	DSS	DSS	Control	DSS	RCE	RCE+DSS	RCE	RCE	RCE	RCE+DSS	RCE+DSS	RCE+DSS	Start
Taxonomy	Control_327	Control_328	Control_330	DSS_334	DSS_339	DSS_treatedp	D_Control	D_DSS	D_RCE	D_RCE_plus_DSS	RCE_318	RCE_319	RCE_322	RCE_plus_DSS_301	RCE_plus_DSS_305	RCE_plus_DSS_313	Start
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Altibacter	0.004279036	0.002507554	0.003216526	0.004798866	0.001446371	0.001908445	0.002652271	0.007200127	0.005459865	0.00231442	0.005116298	0.00388075	0.005614549	0.003846265	0.003234175	0.002664853	0.005156972
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Kordia	0.004093723	0.002925479	0.006118794	0.00419558	0.002679074	0.003451443	0.004381158	0.004648626	0.003146363	0.003911872	0.004953876	0.004252312	0.005539354	0.005432578	0.004991325	0.007542485	0.005458354
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Urechidicola	0.003706251	0.00275022	0.004288701	0.003592294	0.002103813	0.003999613	0.00332025	0.004176773	0.004785644	0.001207523	0.003228141	0.004438092	0.00228091	0.003694153	0.003565232	0.002831406	0.003097532
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Tamlana	0.003605172	0.002494072	0.004824789	0.005456996	0.002711946	0.003146904	0.003104139	0.003442779	0.004455144	0.002603722	0.004811757	0.004025246	0.003659483	0.00417222	0.002648458	0.003687966	0.005324406
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Seonamhaeicola	0.003554632	0.001766073	0.003364412	0.007074899	0.002087377	0.001664814	0.003202371	0.003844728	0.001652501	0.003282954	0.003309352	0.003364693	0.002606755	0.006345251	0.0047112	0.006638338	0.003884472
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Amniculibacterium	0.003520939	0.002345776	0.002735896	0.005100509	0.001939452	0.002212984	0.003516715	0.005906901	0.006345605	0.002301841	0.005441143	0.003798181	0.006341432	0.003694153	0.002495663	0.002498299	0.006730853
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Aureitalea	0.003453552	0.002022221	0.005952422	0.004606911	0.001840836	0.00194905	0.005049138	0.003495207	0.003278563	0.002201214	0.004263582	0.003983962	0.004937795	0.004519905	0.004532938	0.003235893	0.004671413
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Zobellia	0.00316716	0.002022221	0.003789585	0.00787014	0.002087377	0.002395708	0.00298626	0.005015623	0.004151084	0.003496786	0.003837224	0.004025246	0.006792601	0.00488932	0.004940393	0.006495578	0.004470492
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Costertonia	0.003099774	0.002049184	0.002883782	0.007541075	0.004141881	0.00381689	0.002730857	0.007986549	0.004151084	0.00377351	0.004994482	0.005243141	0.007920524	0.006584284	0.007614317	0.007494898	0.002595229
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Zunongwangia	0.002998694	0.001725628	0.004713874	0.008555692	0.003106411	0.002923575	0.003123786	0.004106869	0.001678941	0.004440164	0.003532682	0.00388075	0.004035457	0.009409225	0.009346001	0.009874231	0.002930098
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Gillisia	0.002813382	0.002453628	0.003013182	0.003839093	0.001528551	0.001847537	0.002730857	0.003075783	0.003648723	0.002113166	0.003898132	0.002827994	0.004611951	0.004020107	0.002622992	0.001617946	0.004922564
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Leeuwenhoekiella	0.002813382	0.003181627	0.002569524	0.010913992	0.004224061	0.004182337	0.003752472	0.006186517	0.004336164	0.002968495	0.003573288	0.003364693	0.003960262	0.004367792	0.003208709	0.004377972	0.005575557
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Euzebyella	0.002745995	0.001725628	0.002070408	0.004661755	0.002448969	0.002558128	0.002337928	0.005050575	0.003807363	0.002767241	0.005278721	0.002848636	0.009900655	0.004237411	0.003616164	0.004639699	0.002762664
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Croceibacter	0.002729149	0.001267258	0.003031668	0.007486231	0.003172155	0.003634167	0.003182725	0.008301118	0.002498582	0.003106857	0.003877829	0.004561946	0.00253156	0.00488932	0.005347848	0.006828685	0.002561743
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Wenyingzhuangia	0.002712302	0.001981776	0.004639931	0.004414957	0.001594296	0.002355102	0.004243633	0.004526294	0.003503303	0.002515674	0.00395904	0.003137628	0.003684548	0.003650692	0.002852186	0.003592792	0.004135624
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Gilvibacter	0.002611222	0.002278369	0.001737663	0.007020055	0.003895341	0.003634167	0.002200402	0.007130223	0.004032103	0.003572256	0.002720571	0.003818823	0.0048626	0.006475633	0.006315554	0.005924539	0.003415657
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Oceanihabitans	0.002543836	0.001172888	0.002107379	0.003455183	0.003122847	0.002578431	0.001768181	0.002988402	0.002948063	0.002289263	0.003390563	0.003385335	0.004185847	0.005910645	0.004431074	0.004663492	0.003131019
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Muriicola	0.00247645	0.00192785	0.001645235	0.008281471	0.005012991	0.005197467	0.002632624	0.011988562	0.006134085	0.004540791	0.003228141	0.004933507	0.005790003	0.008214057	0.008378296	0.007137998	0.003733782
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flagellimonas	0.002459603	0.002224443	0.002458609	0.004223002	0.003599492	0.003126601	0.003104139	0.005347667	0.002934843	0.003119435	0.002517544	0.003116986	0.002932599	0.005150084	0.002648458	0.005044185	0.003047302
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Lutibacter	0.002257444	0.001793036	0.00438113	0.002989008	0.001265575	0.00241601	0.002946968	0.002236933	0.001520301	0.00169808	0.00263936	0.003818823	0.002356105	0.002933592	0.003030447	0.003307273	0.002260361
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Sediminicola	0.002021592	0.001307703	0.001423405	0.003482605	0.001314883	0.002009958	0.001591362	0.002708786	0.001520301	0.001182367	0.001502405	0.002084871	0.002230781	0.002607637	0.002470197	0.002498299	0.002561743
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Mesoflavibacter	0.001987898	0.00128074	0.003401384	0.007184588	0.002564022	0.002192681	0.002475453	0.002464121	0.001401321	0.002729506	0.002822085	0.002394506	0.003584288	0.00488932	0.003463368	0.004377972	0.002076184
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Siansivirga	0.001836279	0.00128074	0.002532552	0.006142548	0.003188591	0.002639339	0.001807473	0.001625271	0.001229461	0.002993652	0.002395727	0.002415148	0.001478832	0.004650287	0.004609336	0.005472465	0.001875263
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Psychroserpens	0.001836279	0.001078518	0.002329208	0.001371105	0.000246541	0.000446657	0.001453837	0.000664089	0.000740321	0.000477978	0.001603919	0.001032114	0.000751948	0.001282088	0.001400627	0.001237253	0.001573881
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Galbibacter	0.001735199	0.000808888	0.001959493	0.002522832	0.00087111	0.001136946	0.001453837	0.001834984	0.001229461	0.001220102	0.001279075	0.00117661	0.001428702	0.000934403	0.001553423	0.00157036	0.001456677
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Changchengzhania	0.001701506	0.002116591	0.002162836	0.0023583	0.00111765	0.001076038	0.002062877	0.001607795	0.001308781	0.001106896	0.002375424	0.002662855	0.00253156	0.002977053	0.003132311	0.001998639	0.002829637
