Taxonomy,Control_327,Control_328,Control_330,DSS_334,DSS_339,DSS_treatedp,D_Control,D_DSS,D_RCE,D_RCE_plus_DSS,RCE_318,RCE_319,RCE_322,RCE_plus_DSS_301,RCE_plus_DSS_305,RCE_plus_DSS_313,Start
d__Bacteria|p__Synergistetes|c__Synergistia,2284,1165,1321,788,727,722,1027,1184,1361,1993,1008,1368,980,2498,2399,1652,1305
d__Bacteria|p__Deferribacteres|c__Deferribacteres,1280,860,2163,808,643,873,1111,833,1016,1259,1532,2052,630,3064,2353,1282,1243
d__Bacteria|p__Aquificae|c__Aquificae,869,564,1232,621,408,561,578,677,534,930,629,839,367,1259,1222,855,682
d__Bacteria|p__Candidatus Saccharibacteria|g__Candidatus Saccharimonas,241,589,267,608,612,1226,597,1683,831,1635,344,983,219,1223,168,1313,659
d__Bacteria|p__Candidatus Saccharibacteria|c__Candidatus Saccharimonia,205,505,198,412,479,984,487,1191,654,1193,238,743,175,774,118,978,538
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria,604,272,523,306,175,254,381,278,312,433,335,304,291,526,437,445,329
d__Bacteria|p__Nitrospirae|c__Nitrospira,464,274,311,383,291,215,231,305,289,370,306,357,296,447,438,384,399
d__Bacteria|p__Nitrospirae|c__Thermodesulfovibrionia,136,138,171,136,186,128,188,119,116,259,148,253,102,355,251,305,148
d__Bacteria|p__Elusimicrobia|c__Endomicrobia,227,92,112,120,123,132,85,171,132,263,154,191,75,325,244,243,136
d__Bacteria|p__Elusimicrobia|c__Elusimicrobia,86,59,80,98,92,40,57,130,64,70,75,66,31,89,98,79,94
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia,236,177,453,179,92,111,331,205,168,188,216,217,151,146,131,157,189
d__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes,189,114,152,125,145,96,103,166,128,175,91,148,94,227,151,204,141
d__Bacteria|p__Calditrichaeota|c__Calditrichae,179,145,208,232,221,196,178,167,159,249,161,205,137,355,250,236,167
d__Eukaryota|k__Metazoa|p__Chordata,776656,1454624,1532525,46187,1192949,1567207,525243,453488,250052,1043675,441089,485311,230554,361101,131356,181101,481277
d__Archaea|p__Euryarchaeota|c__Methanomicrobia,2567,1468,2549,1360,1236,1043,1477,1467,1300,1855,1411,1409,1000,2187,1814,1734,1590
