feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X357	RCEwDSS_only	TRUE	0.702540478647911	0.221944691856012	12	3	0.0158091739880614	0.136756439773806
X1975	RCE_only	TRUE	-0.543401309532419	0.171668818249128	12	3	0.0158087446514776	0.136756439773806
X2262	RCEwDSS_only	TRUE	-0.673498143245225	0.212711189915613	12	3	0.015789997416327	0.136756439773806
X2174	DSS_only	TRUE	-0.416005884299132	0.131506773036646	12	12	0.015853425569635	0.136963865918739
X770	RCEwDSS_only	TRUE	0.62763122031892	0.198568171665597	12	12	0.015910889173592	0.137284760225782
X105	RCE_only	TRUE	0.657347514857751	0.208221418066057	12	3	0.0159958881120303	0.1378421174552
X1923	DSS_only	TRUE	-0.525136464516176	0.166530551809153	12	5	0.0160757455992111	0.138353805437286
X18	RCEwDSS_only	TRUE	1.09276641424877	0.346872357568864	12	4	0.0161443684948943	0.138591300573705
X743	RCEwDSS_only	TRUE	1.2226043308838	0.388050476300763	12	10	0.0161378216639169	0.138591300573705
X1087	RCEwDSS_only	TRUE	1.03057773810694	0.327907438165012	12	9	0.01631314997115	0.139748067908356
X2170	RCE_only	TRUE	-0.440172739676893	0.140067752392024	12	3	0.016320489280594	0.139748067908356
X1167	RCE_only	TRUE	-0.384455430221385	0.122399646841227	12	6	0.0163566688479054	0.139880575615758
X601	Sex	M	-0.657787939106872	0.209552151249153	12	3	0.0164016759593633	0.140088145109302
X2119	RCEwDSS_only	TRUE	-0.679527622563921	0.216541599374687	12	3	0.0164228888340303	0.140092218387258
X1431	RCEwDSS_only	TRUE	0.998719147959239	0.318413869095721	12	11	0.0164584656739437	0.140218655855187
X1792	DSS_only	TRUE	0.277430607216879	0.0885411082965723	12	12	0.0165320193125187	0.14049097166714
X1841	DSS_only	TRUE	0.277430607216879	0.0885411082965723	12	12	0.0165320193125187	0.14049097166714
X28	RCEwDSS_only	TRUE	-0.639453206208215	0.204187617011648	12	3	0.0165704125841318	0.140640335952757
X45	RCEwDSS_only	TRUE	0.949848148907587	0.30339802502187	12	7	0.016593468875105	0.140657650792581
X197	RCEwDSS_only	TRUE	-0.892154264598047	0.285050474900409	12	6	0.0166140919675074	0.140657650792581
X1087	DSS_only	TRUE	0.725437790421584	0.231865573127988	12	9	0.0166399389352112	0.140700159507243
X2157	RCEwDSS_only	TRUE	1.01773709175822	0.325411768089364	12	12	0.0166670408488083	0.140753159968186
X6	RCE_only	TRUE	-0.543843596720601	0.17405358774234	12	3	0.0167362065753422	0.141160813511875
X70	RCEwDSS_only	TRUE	-0.697679426249372	0.223861560093018	12	3	0.0169248550305699	0.142573965818617
X388	RCEwDSS_only	TRUE	-0.577226616336036	0.185524653767978	12	7	0.0170496508909145	0.142911827992742
X1118	RCE_only	TRUE	1.19194618094077	0.383091372286765	12	9	0.0170480159637628	0.142911827992742
X1177	RCEwDSS_only	TRUE	0.970755377505763	0.312184742000994	12	10	0.017091882329505	0.142911827992742
X1288	RCE_only	TRUE	1.19194618094077	0.383091372286765	12	9	0.0170480159637628	0.142911827992742
X1713	RCEwDSS_only	TRUE	1.14059086779403	0.366293858596342	12	8	0.0169889142927242	0.142911827992742
X2182	RCEwDSS_only	TRUE	0.937921549955486	0.301599295538946	12	8	0.0170853583596509	0.142911827992742
X1677	RCEwDSS_only	TRUE	-0.755471584682473	0.243202992592427	12	3	0.0171689892759372	0.14320208833115
X2297	RCEwDSS_only	TRUE	-0.755471584682473	0.243202992592427	12	3	0.0171689892759372	0.14320208833115
X1118	RCEwDSS_only	TRUE	0.932617313412995	0.300521597350655	12	9	0.0172416407358949	0.143453848290278
X1288	RCEwDSS_only	TRUE	0.932617313412995	0.300521597350655	12	9	0.0172416407358949	0.143453848290278
X1120	RCEwDSS_only	TRUE	0.85360559831874	0.275638071127645	12	11	0.0173993458486713	0.144209782604272
X1290	RCEwDSS_only	TRUE	0.85360559831874	0.275638071127645	12	11	0.0173993458486713	0.144209782604272
X1784	Sex	M	-1.42982933920086	0.461819856750019	12	6	0.0174178778278695	0.144209782604272
X1833	Sex	M	-1.42982933920086	0.461819856750019	12	6	0.0174178778278695	0.144209782604272
X1390	RCE_only	TRUE	-0.572741146458612	0.185145574353716	12	3	0.017481817063467	0.144385276382375
X1966	RCEwDSS_only	TRUE	1.06652036077353	0.344739106241957	12	9	0.0174759566156272	0.144385276382375
X984	RCE_only	TRUE	1.16824725585698	0.378231122673219	12	7	0.0175987618532624	0.144602360470676
X1191	RCE_only	TRUE	-0.382964622789273	0.124015001385804	12	6	0.0176151188080767	0.144602360470676
X1604	DSS_only	TRUE	0.433637897222054	0.140295656764014	12	12	0.0175451622065808	0.144602360470676
X1809	Sex	M	-1.36035156762914	0.440409265210243	12	6	0.0175957392876408	0.144602360470676
X1924	DSS_only	TRUE	-0.68379952439514	0.221326061619031	12	12	0.0175779141996458	0.144602360470676
X269	RCE_only	TRUE	-0.552680272566459	0.179540391565974	12	3	0.0178578253122111	0.146416829865653
X703	RCE_only	TRUE	-0.747019756094462	0.24275277412362	12	3	0.0178834314740748	0.146449046107696
X178	RCEwDSS_only	TRUE	1.18499885949216	0.385674801709321	12	10	0.0180032673938218	0.147251906189661
X105	Sex	M	0.53167319029381	0.173250692189306	12	3	0.0180978021109646	0.147501439943006
X945	Sex	M	0.814047776507114	0.265332038323955	12	9	0.0181175153297323	0.147501439943006
X1847	Sex	M	-1.37002421477869	0.446568405668762	12	6	0.0181211064465208	0.147501439943006
X1850	RCE_only	TRUE	-0.43753688106996	0.142549855678697	12	6	0.018083762937032	0.147501439943006
X195	RCE_only	TRUE	-1.23942721969703	0.404328087635365	12	8	0.0181847649195277	0.147602797719796
X209	RCEwDSS_only	TRUE	0.768962648591804	0.250799268632071	12	9	0.0181681873486791	0.147602797719796
X821	RCE_only	TRUE	-1.18759262184633	0.387677387586947	12	4	0.0182371993615904	0.147602797719796
X1811	RCEwDSS_only	TRUE	0.702483103489131	0.229328588895121	12	6	0.0182406988490645	0.147602797719796
X2005	RCE_only	TRUE	-0.609641544427969	0.199025380144188	12	3	0.0182427969354692	0.147602797719796
X107	RCE_only	TRUE	-0.725674107016187	0.237755593965797	12	3	0.0185261164587471	0.147946149876236
X573	Sex	M	-0.619879939369624	0.202702623946654	12	3	0.0183731259854534	0.147946149876236
X747	Sex	M	0.62874996952505	0.205591175227698	12	3	0.0183685203558785	0.147946149876236
X870	RCE_only	TRUE	-1.30983757031239	0.428950514343822	12	4	0.0184895939717935	0.147946149876236
